#,Priority,problemUrl,topic,subTopic,striver_video,neetcode_video
1,Must Do,https://leetcode.com/problems/find-the-highest-altitude,Arrays,Basic Array Operations,,
2,Must Do,https://leetcode.com/problems/richest-customer-wealth,Arrays,Basic Array Operations,,
3,Must Do,https://leetcode.com/problems/shuffle-the-array,Arrays,Basic Array Operations,,
4,Must Do,https://leetcode.com/problems/kids-with-the-greatest-number-of-candies,Arrays,Basic Array Operations,,
5,Must Do,https://leetcode.com/problems/number-of-good-pairs,Arrays,Basic Array Operations,,
6,Must Do,https://leetcode.com/problems/count-items-matching-a-rule,Arrays,Basic Array Operations,,
7,Must Do,https://leetcode.com/problems/find-the-duplicate-number,Arrays,Basic Array Operations,,
8,Must Do,https://leetcode.com/problems/set-matrix-zeroes,Arrays,Basic Array Operations,▶ Striver,▶ NeetCode
9,Must Do,https://leetcode.com/problems/rotate-array,Arrays,Basic Array Operations,▶ Striver,▶ NeetCode
10,Must Do,https://leetcode.com/problems/first-missing-positive,Arrays,Basic Array Operations,,
11,Good To Do,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iii,Arrays,Basic Array Operations,▶ Striver,▶ NeetCode
12,Good To Do,https://leetcode.com/problems/maximum-gap,Arrays,Basic Array Operations,,
13,Good To Do,https://www.codechef.com/problems/LINSRCH,Arrays,Basic Array Operations,,
14,Good To Do,https://www.geeksforgeeks.org/array-rotation,Arrays,Basic Array Operations,▶ Striver,▶ NeetCode
15,Good To Do,https://www.geeksforgeeks.org/find-second-largest-element-array,Arrays,Basic Array Operations,▶ Striver,▶ NeetCode
16,Good To Do,https://www.geeksforgeeks.org/largest-sum-contiguous-subarray,Arrays,Basic Array Operations,,
17,Good To Do,https://www.geeksforgeeks.org/leaders-in-an-array,Arrays,Basic Array Operations,▶ Striver,▶ NeetCode
18,Good To Do,https://www.geeksforgeeks.org/rearrange-array-alternating-positive-negative-items-o1-extra-space,Arrays,Basic Array Operations,,
19,Good To Do,https://www.geeksforgeeks.org/write-a-program-to-reverse-an-array-or-string,Arrays,Basic Array Operations,,
20,Good To Do,https://www.hackerrank.com/challenges/crush/problem,Arrays,Basic Array Operations,,
21,Good To Do,https://www.interviewbit.com/problems/hotel-bookings-possible,Arrays,Basic Array Operations,,
22,Must Do,https://leetcode.com/problems/remove-duplicates-from-sorted-array,Arrays,Two Pointers,▶ Striver,▶ NeetCode
23,Must Do,https://leetcode.com/problems/move-zeroes,Arrays,Two Pointers,▶ Striver,▶ NeetCode
24,Must Do,https://leetcode.com/problems/squares-of-a-sorted-array,Arrays,Two Pointers,,
25,Must Do,https://leetcode.com/problems/two-sum-ii-input-array-is-sorted,Arrays,Two Pointers,,
26,Must Do,https://leetcode.com/problems/3sum,Arrays,Two Pointers,▶ Striver,▶ NeetCode
27,Must Do,https://leetcode.com/problems/container-with-most-water,Arrays,Two Pointers,,
28,Must Do,https://leetcode.com/problems/sort-colors,Arrays,Two Pointers,▶ Striver,▶ NeetCode
29,Must Do,https://leetcode.com/problems/4sum,Arrays,Two Pointers,▶ Striver,▶ NeetCode
30,Must Do,https://www.interviewbit.com/problems/pairs-with-given-sum,Arrays,Two Pointers,,
31,Must Do,https://leetcode.com/problems/trapping-rain-water,Arrays,Two Pointers,▶ Striver,▶ NeetCode
32,Good To Do,https://codeforces.com/problemset/problem/1520/D,Arrays,Two Pointers,,
33,Good To Do,https://codeforces.com/problemset/problem/1598/B,Arrays,Two Pointers,,
34,Good To Do,https://www.geeksforgeeks.org/find-a-triplet-that-sum-to-a-given-value,Arrays,Two Pointers,,
35,Good To Do,https://www.geeksforgeeks.org/two-pointers-technique,Arrays,Two Pointers,,
36,Good To Do,https://www.interviewbit.com/problems/3-sum-zero,Arrays,Two Pointers,,
37,Must Do,https://leetcode.com/problems/minimum-window-substring,Arrays,Sliding Window,▶ Striver,▶ NeetCode
38,Must Do,https://leetcode.com/problems/maximum-average-subarray-i,Arrays,Sliding Window,,
39,Must Do,https://leetcode.com/problems/maximum-number-of-vowels-in-a-substring-of-given-length,Arrays,Sliding Window,,
40,Must Do,https://leetcode.com/problems/max-consecutive-ones,Arrays,Sliding Window,▶ Striver,▶ NeetCode
41,Must Do,https://leetcode.com/problems/diet-plan-performance,Arrays,Sliding Window,,
42,Must Do,https://leetcode.com/problems/number-of-sub-arrays-of-size-k-and-average-greater-than-or-equal-to-threshold,Arrays,Sliding Window,,
43,Must Do,https://leetcode.com/problems/minimum-size-subarray-sum,Arrays,Sliding Window,,
44,Must Do,https://leetcode.com/problems/longest-substring-without-repeating-characters,Arrays,Sliding Window,▶ Striver,▶ NeetCode
45,Must Do,https://leetcode.com/problems/fruit-into-baskets,Arrays,Sliding Window,▶ Striver,▶ NeetCode
46,Must Do,https://leetcode.com/problems/permutation-in-string,Arrays,Sliding Window,,
47,Must Do,https://leetcode.com/problems/longest-subarray-of-1s-after-deleting-one-element,Arrays,Sliding Window,,
48,Must Do,https://leetcode.com/problems/sliding-window-maximum,Arrays,Sliding Window,▶ Striver,▶ NeetCode
49,Good To Do,https://codeforces.com/problemset/problem/1469/C,Arrays,Sliding Window,,
50,Good To Do,https://www.codechef.com/problems/CDIST,Arrays,Sliding Window,,
51,Good To Do,https://www.geeksforgeeks.org/find-maximum-average-subarray-of-k-length,Arrays,Sliding Window,,
52,Good To Do,https://www.geeksforgeeks.org/longest-sub-array-sum-k,Arrays,Sliding Window,▶ Striver,▶ NeetCode
53,Good To Do,https://www.geeksforgeeks.org/window-sliding-technique,Arrays,Sliding Window,,
54,Good To Do,https://www.interviewbit.com/problems/sub-sum,Arrays,Sliding Window,,
55,Must Do,https://leetcode.com/problems/running-sum-of-1d-array,Arrays,Prefix Sums,,
56,Must Do,https://leetcode.com/problems/find-pivot-index,Arrays,Prefix Sums,,
57,Must Do,https://leetcode.com/problems/find-the-middle-index-in-array,Arrays,Prefix Sums,,
58,Must Do,https://leetcode.com/problems/left-and-right-sum-differences,Arrays,Prefix Sums,,
59,Must Do,https://leetcode.com/problems/sum-of-all-odd-length-subarrays,Arrays,Prefix Sums,,
60,Must Do,https://leetcode.com/problems/subarray-sum-equals-k,Arrays,Prefix Sums,▶ Striver,▶ NeetCode
61,Must Do,https://leetcode.com/problems/product-of-array-except-self,Arrays,Prefix Sums,,
62,Must Do,https://leetcode.com/problems/contiguous-array,Arrays,Prefix Sums,,
63,Must Do,https://leetcode.com/problems/range-sum-query-2d-immutable,Arrays,Prefix Sums,,
64,Must Do,https://leetcode.com/problems/count-number-of-nice-subarrays,Arrays,Prefix Sums,▶ Striver,▶ NeetCode
65,Must Do,https://leetcode.com/problems/maximum-subarray,Arrays,Prefix Sums,▶ Striver,▶ NeetCode
66,Good To Do,https://codeforces.com/problemset/problem/1118/B,Arrays,Prefix Sums,,
67,Good To Do,https://codeforces.com/problemset/problem/295/A,Arrays,Prefix Sums,,
68,Good To Do,https://www.codechef.com/problems/FILTRATE,Arrays,Prefix Sums,,
69,Good To Do,https://www.geeksforgeeks.org/equilibrium-index-of-an-array,Arrays,Prefix Sums,,
70,Good To Do,https://www.geeksforgeeks.org/largest-subarray-with-equal-number-of-0s-and-1s,Arrays,Prefix Sums,,
71,Good To Do,https://www.geeksforgeeks.org/prefix-sum-2d-array,Arrays,Prefix Sums,,
72,Good To Do,https://www.interviewbit.com/problems/range-sum-query,Arrays,Prefix Sums,,
73,Must Do,https://leetcode.com/problems/summary-ranges,Arrays,Merge Intervals,,
74,Must Do,https://leetcode.com/problems/meeting-rooms,Arrays,Merge Intervals,,
75,Must Do,https://leetcode.com/problems/check-if-all-1s-are-at-least-length-k-places-away,Arrays,Merge Intervals,,
76,Must Do,https://leetcode.com/problems/merge-intervals,Arrays,Merge Intervals,▶ Striver,▶ NeetCode
77,Must Do,https://leetcode.com/problems/insert-interval,Arrays,Merge Intervals,▶ Striver,▶ NeetCode
78,Must Do,https://leetcode.com/problems/meeting-rooms-ii,Arrays,Merge Intervals,,
